1	特殊任務	5	パーティ制限あり　任務ごとに特殊な効果が発生	images/dungeonbanner/select/specialgroup_1.png	
2	水影の騎士	5	助っ人制限：ゲストパーティのみ　※EX級以上は助っ人なし	images/dungeonbanner/select/specialgroup_2.png	
3	国家防衛任務	5	ステージと同じ国家の花騎士は攻撃力アップ&絆水晶獲得	images/dungeonbanner/select/specialgroup_3.png	
4	クジラ艇　第2章(本編)	4		images/dungeonbanner/select/specialgroup_8.png	
5	クジラ艇　第2章(プロローグ)	4		images/dungeonbanner/select/specialgroup_5.png	
6	クジラ艇　第1章	4		images/dungeonbanner/select/specialgroup_4.png	
7		1		images/dungeonbanner/select/specialgroup_6.png	
8		1		images/dungeonbanner/select/specialgroup_7.png	
10	クジラ艇　迎撃任務	4		images/dungeonbanner/select/specialgroup_10.png	
11	怒れるヌシの緊急討伐任務	5		images/dungeonbanner/select/specialgroup_11.png	
12	極限任務ストーリーズ	2		images/dungeonbanner/select/limit_5.png	
14	特殊極限任務	5		images/dungeonbanner/select/concept_14.png	
15	クジラ艇　第2章(本編)　最新	4		images/dungeonbanner/select/specialgroup_10.png	
16	極限任務ストーリーズ(最新)	2		images/dungeonbanner/select/limit_5.png	
17	メモリーダンジョン	2		images/dungeonbanner/select/fm_01.png	
18	クイズダンジョン	2		images/dungeonbanner/select/specialgroup_12.png	
19		1		images/dungeonbanner/select/specialgroup_19.png	
20	再復刻任務	3		images/dungeonbanner/select/common_rereprint.png	
21	ゆめかわ★ファンタジー	3		images/dungeonbanner/select/nomal_257.png	
22	封印の古代花騎士	5		images/dungeonbanner/select/ancient.png	
23	VS封印の古代花騎士	5		images/dungeonbanner/select/ancient_1.png	
24	世界花の力のダンジョン	5		images/dungeonbanner/select/country_5.png	
