1	1	1	チュートリアル突破！	チュートリアルを突破しよう！	"チュートリアル達成おめでとうございます！<br>団長様にはあともう少し、わたしにお付き合い頂ければと思います♪<br>条件が達成されました！プレゼントBOXを確認してくださいね。 "	30	0	1	20000		10	1	1	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
2	1	2	プレゼントを受け取ろう！	プレゼントを受け取りに行きましょう！<br>キャンペーンや討伐報酬はプレゼントBOXに配布されます。<br>受取期間は30日までとなっているので、まめに確認してくださいね♪	プレゼントはいかがでしたか？<br>団長様への報酬や贈り物は、今後もプレゼントBOXから受け取ることができます。<br>条件が達成されました！プレゼントBOXを確認してくださいね。	31	0	1	20001		16	1	2	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
3	1	3	任務1に挑戦しよう！	団長様のお仕事は、やはり世界の平和を守ること！<br>まずはダンジョン画面にあるノーマルタブ内の<br>「任務1　フォス丘陵地」をクリアしましょう♪	討伐任務お疲れ様でした！<br>団長様がどのように戦えば良いか、ご理解いただけたかと思います！<br>挑戦していただいた任務以外にも様々な任務をご用意しています。	32	2	1	20002		4	0	3	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
4	1	4	花騎士を強化しよう！	害虫達に対抗するには花騎士の強化が欠かせません！<br>花騎士達は団長様の協力があって強くなります。<br>まずは彼女たちを強化しに行きましょう！	花騎士達が随分強くなられましたね！<br>どんどん花騎士を強くして、害虫を討伐しましょう！<br>条件が達成されました！プレゼントBOXを確認してくださいね。	7	0	1	20003		7	2	4	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
5	1	5	ダンジョンを挑戦しよう！	まずは贈り物を手に入れるために、ダンジョン画面の<br>「常設任務　贈り物を求めて」の初級をクリアしましょう！	花騎士達への贈り物は決まりましたか？<br>任務で手に入れた贈り物は執務室でプレゼントすることができます。<br>条件が達成されました！プレゼントBOXを確認してくださいね。	27	8	1	20004		4	2	5	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
6	1	6	ゴールドをザクザク稼ごう！	やはり騎士団を運営するにはお金が欠かせません！<br>ダンジョン画面にあるスペシャルタブの<br>「常設任務　ざくざくゴールドラッシュ」の初級をクリアしましょう!	お金はざくざく集まりましたか？<br>集めたゴールドは花騎士の進化や強化に必要な費用となりますので、<br>どんどん集めましょう！	27	9	1	20005		4	2	6	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
7	1	7	引き直せる！★5以上確定ガチャを引こう！	花騎士にもかなりの力を秘めた花騎士が居ることはご存知ですか？<br>今回は特別に強い力を持った花騎士を迎えることができます！<br>引き直せる！★5以上確定ガチャを回しに行きましょう！	強い花騎士を迎えることはできましたか？<br>今回迎えた花騎士よりも力を秘めた花騎士が存在します！<br>彼女たちを迎えることで強力な戦力になること間違いなしです！	3	353	1	20006		5	0	7	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
8	1	8	2日目ログインをしよう！	このミッションは、明日も来ていただけると達成となります！<br>わたしも花騎士のみなさんも、<br>団長様とまたお会いできることを楽しみにしています♪	"今日も来ていただいてありがとうございます！<br>団長様が来る事を信じていました！<br>条件が達成されました！プレゼントBOXを確認してくださいね。 "	29	0	2	20007		10	1	8	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
9	1	9	花騎士を進化させよう！	今まで受け取った報酬を使って花騎士を進化させてみましょう！<br>レベルが上限に達した花騎士に進化素材を与えることで、彼女たちは進化します！<br>限界を超えた彼女達の力はきっと頼りになりますよ♪	花騎士の進化はどうでしたか？<br>かなりの戦力になる事は間違いなしです！<br>一部の花騎士は、進化することでより強力な力を発揮することができます！	8	0	1	20008		7	2	9	1	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
10	1	10	全ミッションクリア	全ミッションクリア	おめでとうございます！<br>全てのミッションの達成お疲れ様でした！<br>害虫を討伐して世界を救いましょう！	33	1	9	20009		0	0	0	0	"2016-04-22 00:00:00"	"2030-04-22 00:00:00"	0	0	
871	88	781	人気投票券を1000枚投票しよう	人気投票券を1000枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	1000	20870	panelMissionRanking05	11	24200	1	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
872	88	782	人気投票券を1500枚投票しよう	人気投票券を1500枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	1500	20871	panelMissionRanking07	11	24200	2	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
873	88	783	人気投票券を2000枚投票しよう	人気投票券を2000枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	2000	20872	panelMissionRanking08	11	24200	3	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
874	88	784	人気投票券を2500枚投票しよう	人気投票券を2500枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	2500	20873	panelMissionRanking09	11	24200	4	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
875	88	785	人気投票券を3000枚投票しよう	人気投票券を3000枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	3000	20874	panelMissionRanking10	11	24200	5	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
876	88	786	人気投票券を3500枚投票しよう	人気投票券を3500枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	3500	20875	panelMissionRanking11	11	24200	6	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
877	88	787	人気投票券を4000枚投票しよう	人気投票券を4000枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	4000	20876	panelMissionRanking12	11	24200	7	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
878	88	788	人気投票券を4500枚投票しよう	人気投票券を4500枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	4500	20877	panelMissionRanking13	11	24200	8	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
879	88	789	人気投票券を5000枚投票しよう	人気投票券を5000枚投票しよう	団長様、ミッションクリア、お疲れ様です！<br>全てクリアするまで、あともう少し、私と一緒に頑張りましょう♪<br>クリア報酬はプレゼントボックスを確認してくださいね！	68	1850	5000	20878	panelMissionRanking14	11	24200	9	1	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
880	88	790	全ミッションクリア	全ミッションクリア	団長様！全ミッションクリア、本当にお疲れさまでした！	33	2	9	20879		0	0	10	0	"2023-01-23 00:00:00"	"2023-02-06 14:30:00"	24200	0	
